Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
7/29/2025,PEN ,100,Bs3.00,Bs300.00,Efectivo,Sergio,
7/29/2025,PEN ,20,Bs3.00,Bs60.00,Efectivo,Sergio,
7/29/2025,USD,170,Bs13.20,"Bs2,244.00",Efectivo,Sergio,
7/29/2025,USD,200,Bs13.30,"Bs2,660.00",Efectivo,Sergio,
7/29/2025,USD,100,Bs13.30,"Bs1,330.00",Efectivo,Sergio,
7/29/2025,USD,20,Bs12.00,Bs240.00,Efectivo,Sergio,
7/29/2025,USD,100,Bs13.10,"Bs1,310.00",Efectivo,Sergio,
7/29/2025,USD,50,Bs13.00,Bs650.00,Efectivo,Sergio,
7/29/2025,USD,100,Bs13.10,"Bs1,310.00",Efectivo,Sergio,
7/30/2025,USD,200,Bs13.15,"Bs2,630.00",Efectivo,Tiffani,
7/30/2025,USD,200,Bs13.10,"Bs2,620.00",Efectivo,Tiffani,
7/30/2025,USD,100,Bs13.10,"Bs1,310.00",Efectivo,Tiffani,
7/30/2025,USD,100,Bs13.10,"Bs1,310.00",Efectivo,Tiffani,
7/30/2025,ARS,5,Bs5.00,Bs25.00,Efectivo,Sergio,
7/30/2025,CLP ,10,Bs12.00,Bs120.00,Efectivo,Sergio,
7/30/2025,USD,200,Bs13.10,"Bs2,620.00",Efectivo,Sergio,
7/30/2025,USD,100,Bs13.10,"Bs2,620.00",Efectivo,Sergio,
7/30/2025,USD,4000,Bs13.10,"Bs52,400.00",Efectivo,Sergio,
7/30/2025,USD,150,Bs13.10,"Bs1,965.00",Efectivo,Sergio,
7/31/2025,EUR,160,Bs15.00,"Bs2,400.00",Efectivo,Tiffani,
7/31/2025,USD,200,Bs13.00,"Bs2,600.00",Efectivo,Tiffani,
7/31/2025,USD,1600,Bs13.00,"Bs20,800.00",Efectivo,Tiffani,
7/31/2025,PEN ,50,Bs3.00,Bs150.00,Efectivo,Sergio,
7/31/2025,PEN ,20,Bs3.00,Bs60.00,Efectivo,Sergio,
7/31/2025,USD,800,Bs13.15,"Bs10,520.00",Efectivo,Sergio,
,,32586,,"Bs970,830.20",,,
